21873671,11928378,23817263,28780688,player
28918276,15638748,15637386,26205590,caller
28981594,9903468,17639265,29875673,player
22982671,14097638,25097627,24222064,idle_user
22098276,13783764,26098256,24419704,idle_user
23008975,9807654,30575718,23007653,idle_user
28736719,9198736,27819837,20644708,pocket_user
22736491,11098367,28983674,23581468,idle_user
23098367,13672905,26781064,22847664,idle_user
37820192,7263847,24536172,16779789,pocket_user
21908365,16245308,23871678,24374649,caller
29976378,8916539,28719762,18787321,pocket_user
22736491,11098367,28983674,23581468,player
32712873,6672689,27768876,19245562,pocket_user
14983674,13672986,31764893,25978447,idle_user
28987618,13907652,30714576,12790154,idle_user
26097381,12837703,19806105,27658811,player
35162817,7829376,27618298,15789509,pocket_user
23182739,16728374,19283746,27205141,caller
19836593,14893876,23918735,27750796,caller
17639265,9903468,29875673,28981594,idle_user
23918279,8928731,21872678,31680312,player
19806105,12837703,27658811,26097381,idle_user
26719283,8192836,22817369,28670512,player
18093791,16379285,22983781,28943143,caller
36172638,5349837,26781763,18095762,pocket_user
27192839,16371280,21998379,20837502,caller
23291805,15639816,24817308,22651071,caller
31092837,6739287,25167293,23400583,pocket_user
19283701,17356973,23891735,25867591,caller
29102938,4738271,28192037,24366754,pocket_user
25918278,6251467,21873617,32356638,player
19283716,8726156,23817263,34572865,player
19876387,10987364,30986537,24549712,idle_user
24817263,9182738,24187268,28212731,player
24251729,7182736,24988173,29977362,player
25162739,14983740,17837625,28415896,caller
34518925,5628928,26719928,19532219,pocket_user
23019876,15928179,24718725,22733220,caller
32987351,7890816,26781076,18740757,pocket_user
